SaleID,Date,Delivery_Date,ChannelID,CustomerID,BranchID,EmployeeID,ProductID,Quantity,Total,Price
10,2019-03-16,2019-03-17,1,1003,13,13001674,42894,2,1030.0,515.0
17,2019-02-07,2019-02-08,2,1590,13,13001674,42976,1,216.0,216.0
18,2019-02-14,2019-02-22,2,3029,13,13001674,43010,3,1161.0,387.0
19,2019-09-21,2019-09-22,3,2854,13,13001674,42958,2,7526.0,3763.0
24,2019-03-08,2019-03-16,2,1286,13,13001674,42787,2,2732.84,1366.42
25,2019-06-04,2019-06-07,2,1117,13,13001674,42763,1,2118.38,2118.38
26,2019-11-12,2019-11-21,2,273,13,13001674,42754,3,3712.5,1237.5
30,2019-05-07,2019-05-16,1,2939,13,13001674,42861,1,542.0,542.0
31,2019-08-19,2019-08-22,3,1270,13,13001674,42859,1,610.0,610.0
75,2019-01-22,2019-01-26,2,3357,13,13001674,42789,1,218.02,218.02
76,2019-07-15,2019-07-17,3,292,13,13001674,42818,2,3815.24,1907.62
77,2019-09-10,2019-09-13,1,596,13,13001674,42777,3,7672.5,2557.5
78,2019-11-14,2019-11-22,2,1854,13,13001674,42788,2,843.92,421.96
79,2019-12-13,2019-12-16,1,1865,13,13001674,42777,3,7672.5,2557.5
80,2019-12-19,2019-12-26,2,1788,13,13001674,42799,2,3072.08,1536.04
81,2020-01-27,2020-01-28,2,109,13,13001674,42760,3,4911.72,1637.24
82,2020-04-10,2020-04-11,3,333,13,13001674,42791,2,516.56,258.28
83,2020-05-27,2020-06-04,2,721,13,13001674,42764,1,1385.78,1385.78
116,2019-01-01,2019-01-02,2,1693,13,13001674,42825,1,554.18,554.18
117,2019-01-17,2019-01-24,2,432,13,13001674,42822,1,816.86,816.86
118,2019-02-07,2019-02-08,1,1789,13,13001674,42855,3,3390.0,1130.0
119,2019-03-06,2019-03-07,3,1651,13,13001674,42873,2,1120.0,560.0
120,2019-04-04,2019-04-09,2,2579,13,13001674,42858,3,1515.0,505.0
121,2019-04-19,2019-04-23,3,1632,13,13001674,42859,2,1220.0,610.0
122,2019-07-08,2019-07-09,1,2735,13,13001674,42883,2,996.0,498.0
123,2019-07-10,2019-07-17,2,535,13,13001674,42839,1,353.32,353.32
124,2019-10-18,2019-10-19,2,2798,13,13001674,42855,2,2260.0,1130.0
125,2019-11-01,2019-11-03,1,1532,13,13001674,42833,2,1638.12,819.06
126,2020-02-24,2020-03-03,2,427,13,13001674,42855,1,1130.0,1130.0
127,2020-03-18,2020-03-21,1,1066,13,13001674,42827,3,1537.1399999999999,512.38
128,2020-04-04,2020-04-06,2,966,13,13001674,42869,1,199.0,199.0
129,2020-04-20,2020-04-25,3,451,13,13001674,42870,1,178.0,178.0
153,2019-01-09,2019-01-12,3,3090,13,13001674,42905,2,912.0,456.0
154,2019-01-17,2019-01-21,3,1416,13,13001674,42927,1,91.0,91.0
156,2019-03-19,2019-03-29,2,1638,13,13001674,42912,3,4962.0,1654.0
157,2019-04-13,2019-04-18,1,787,13,13001674,42893,1,515.0,515.0
158,2019-06-04,2019-06-08,2,1475,13,13001674,42939,2,5830.0,2915.0
159,2019-06-17,2019-06-21,3,1731,13,13001674,42891,2,1030.0,515.0
161,2019-07-12,2019-07-16,3,1580,13,13001674,42886,3,1494.0,498.0
162,2019-09-23,2019-09-24,2,2906,13,13001674,42909,2,3000.0,1500.0
163,2019-10-08,2019-10-12,2,2652,13,13001674,42930,2,312.0,156.0
164,2020-02-01,2020-02-06,2,1616,13,13001674,42923,2,1506.0,753.0
166,2020-05-02,2020-05-09,2,1641,13,13001674,42916,3,4068.0,1356.0
199,2019-05-17,2019-05-22,3,649,13,13001674,43001,2,1250.0,625.0
200,2019-07-10,2019-07-15,1,564,13,13001674,43012,3,1530.0,510.0
201,2019-07-19,2019-07-24,2,713,13,13001674,42964,3,8472.0,2824.0
202,2019-09-24,2019-09-29,2,2532,13,13001674,43009,3,1689.0,563.0
203,2019-11-27,2019-11-29,1,1397,13,13001674,42987,2,912.0,456.0
204,2019-12-04,2019-12-05,3,733,13,13001674,42984,2,516.0,258.0
205,2019-12-14,2019-12-19,2,2835,13,13001674,43011,3,1161.0,387.0
206,2020-01-11,2020-01-15,2,508,13,13001674,42972,2,5482.0,2741.0
207,2020-02-03,2020-02-08,2,3053,13,13001674,42963,1,2355.0,2355.0
208,2020-02-06,2020-02-11,2,1095,13,13001674,42990,1,353.0,353.0
209,2020-02-25,2020-02-27,2,1,13,13001674,42977,3,333.0,111.0
210,2020-02-24,2020-02-28,2,416,13,13001674,43013,2,708.0,354.0
218,2019-04-03,2019-04-06,1,1835,13,13001674,43035,1,1159.0,1159.0
219,2019-04-22,2019-04-26,1,2962,13,13001674,43037,2,2274.0,1137.0
220,2019-04-27,2019-05-02,2,166,13,13001674,43033,3,3546.0,1182.0
221,2019-06-21,2019-06-23,1,1854,13,13001674,43037,2,2274.0,1137.0
222,2019-07-09,2019-07-10,3,1204,13,13001674,43017,2,716.0,358.0
223,2019-09-21,2019-10-01,2,184,13,13001674,43021,1,435.0,435.0
224,2020-03-24,2020-03-29,2,3011,13,13001674,43029,2,2188.0,1094.0
225,2020-04-08,2020-04-13,1,3001,13,13001674,43043,1,1159.0,1159.0
226,2020-03-06,2020-03-08,1,584,13,13001674,43036,2,1488.0,744.0
227,2020-01-07,2020-01-10,1,561,13,13001674,42828,3,2718.54,906.18
228,2020-01-30,2020-02-04,2,208,13,13001674,42845,2,1646.48,823.24
229,2020-02-18,2020-02-21,1,1879,13,13001674,42846,1,2846.58,2846.58
230,2020-02-29,2020-03-02,1,720,13,13001674,42848,1,1588.0,1588.0
231,2020-04-29,2020-05-01,2,1549,13,13001674,42827,1,512.38,512.38
232,2020-04-21,2020-04-28,2,3368,13,13001674,42950,2,5206.0,2603.0
